Index	MBH038	MBH039	MBH040	MBH041	MBH042	MBH043	MBH044	MBH045	MBH046	MBH047	MBH048	MBH049	MBH050	MBH051	MBH052	MBH053	MBH054	MBH055	MBH056	MBH057	MBH058	MBH059	MBH060	MBH061	MBH062	MBH063	MBH064	MBH065	MBH066	MBH067	MBH068	MBH069	MBH070	MBH071	MBH072	MBH073	MBH074	MBH075	MBH076	MBH077	MBH078	MBH079	MBH080	MBH081	MBH082	MBH083	MBH084	MBH085	MBH086	MBH087	MBH088	MBH089	MBH090	MBH091	MBH092	MBH093	MBH094	MBH095	MBH096	MBH097	MBH098	MBS1115	MBS1116	MBS1117	MBS1118	MBS1119	MBS1120	MBS1121	MBS1122	MBS1123	MBS1124	MBS1125	MBS1126	MBS1127	MBS1128	MBS1129	MBS1130	MBS1131	MBS1132	MBS1133	MBS1134	MBS1135	MBS1136	MBS1137	MBS1138	MBS1139	MBS1140	MBS1141	MBS1142	MBS1143	MBS1144	MBS1145	MBS1146	MBS1147	MBS1148	MBS1149	MBS1150	MBS1151	MBS1152	MBS1153	MBS1154	MBS1155	MBS1156	MBS1157	MBS1158	MBS1159	MBS1160	MBS1161	MBS1162	MBS1163	MBS1164	MBS1165	MBS1166	MBS1167	MBS1168	MBS1169	MBS1170	MBS1171	MBS1172	MBS1173	MBS1174	MHH247	MHH248	MHH250	MHH251	MHH252	MHH253	MHH254	MHH255	MHH256	MHH257	MHH258	MHH259	MHH260	MHH261	MHH262	MHH263	MHH264	MHH326	MHH327	MHH328	MHH329	MHH330	MHH331	MHH332	MHH333	MHH334	MHH335	MHH336	MHH337	MHH338	MHH339	MHH340	MHH341	MHH342	MHH343	MHH344	MHH345	MHH346	MHH347	MHH348	MHH349	MHH350	MHH351	MHH352	MHH353	MHH354	MHH355	MHH356	MHH357	MHH358	MHH359	MHH360	MHH361	MHH362	MHH363	MHH364	MHH365	MHH366	MHH367	MHH368	MHH369	MHH370	MHH371	MHH372	MHH373	MHH374	MHH375	MHH376	MHH377	MHH378	MHH379	MHH380	MHH381	MHH382	MHH383	MHH384	MHH385	MHH386	MHH387	MHH388	MHH389	MHH391	MHH392	MHH393	MHH394	MHH395	MHH396	MHH397	MHH514	MHH515	MHH516	MHH517	MHH518	MHH519	MHH520	MHH521	MHH522	MHH523	MHH524	MHH525	MHH526	MHH527	MHH528	MHH529	MHH530	MHH531	MHH532	MHH533	MHH534	MHH535	MHH536	MHH537	MHH538	MHH539	MHH540	MHH541	MHH542	MHH543	MHH544	MHH545	MHH546	MHH547	MHH548	MHH549	MHH550	MHH551	MHH552	MHH553	MHH554	MHH555	MHH556	MHH557	MHH558	MHH559	MHH560	MHH561	MHH562	MHH563	MHH564	MHH565	MHH566	MHH567	MHH568	MHH569	MHH570	MHH571	MHH572	MHH573	MHH574	MHH575	MHH576	MHH577	MHH578	MHH579	MHH580	MHH581	MHH582	MHH583	MHH584	MHH585	MHH586	MHH587	MHH588	MHH589	MHH590	MHH591	MHH592	MHH593	MHH594	MHH595	MHH596	MHH597	MHH598	MHH599	MHH600	MHH601	MHH602	MHH603	MHH604	MHH605	MHH606	MHH607	MHH608	MHH609	MHH610	MHH611	MHH612	MHH613	MHH614	MHH615	MHH616	MHH617	MHH618	MHH619	MHH620	MHH621	MHH622	MHH623	MHH624	MHH625	MHH626	MHH627	MHH628	MHH629	MHH630	MHS118	MHS119	MHS120	MHS121	MHS122	MHS123	MHS124	MHS125	MHS126	MHS127	MHS128	MHS129	MHS130	MHS131	MHS132	MHS133	MHS134	MHS135	MHS136	MHS137	MHS138	MHS139	MHS140	MHS141	MHS142	MHS143
Enterobacter_aerogenes	0.05115	0	0	0	0	0.00468	0	0	0	0	0	0	0	0	0	0	0	0	0.01334	0	0	0	0.01909	0	0	0	0	0	0	0.24772	0	0	0	0	0	0	0.28864	0	0	0	0	0	0.02038	0	0	0.02425	0	0	0	0.72875	0	0.00763	0	0	0	0.00277	0	0	0	0	0.02947	0	0	0	0	0.03751	0	0	0	0	0.00326	0	0	0.26774	0	0.09781	0	0	0.07691	0	0	0	0	0	0	0	0	0.00601	0	0	0	0	0	0	0	0	0	0	0	0.0029	1.78171	0	0.02055	0	0	0	0	0	0	0	0	0	0.02913	0	0	0	0.00473	0	0	0	0.0561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06877	0.01721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	0	0	0	0.20579	0	0	0	0	0	0	0	0.01379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00754	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23053	0	0	0	0	0	0.00376	0	0	0	0	0	0.00538	0	0	0.03416	0.00363	0	0	0.07397	0	0	0	0	0	0.00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1122	0	0	0	0.01118	0	0	0	0	0	0.00195	1.01572	0	0	0	0	0.01439	0	0	0	0	0	0	0	0	0	0.02102	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0
Escherichia_coli	0.08148	0.39912	0.0338	5.14445	4.82266	0.01867	2.04789	6.52957	2.32381	3.36312	0.81352	2.60699	2.83457	36.0739	4.98942	1.50021	38.82021	3.47911	1.91682	28.40136	2.30178	0.02898	0.021	22.3256	0.08837	25.6706	33.83872	0.33613	1.21939	5.31002	9.68283	0.38264	32.72549	18.45651	0.66545	0.07483	6.18894	31.00082	5.42936	26.50806	0.69264	9.8315	3.77841	15.63717	22.7751	1.05985	0.03619	2.16272	9.98854	18.05765	15.06593	26.84549	3.46393	2.00049	0.92918	43.04517	5.81975	1.7955	3.17641	0.15351	14.89953	11.66685	0.85891	0.22255	0.93547	25.36724	0.01249	0.00967	3.79431	0.88631	0.13581	8.24571	21.74552	9.64853	0.19299	8.79372	0.0322	11.38422	9.0071	17.31626	11.39106	0.04384	0.97864	21.32636	8.52409	16.00129	14.63794	0.50827	0.14576	0.1363	28.7571	0.04767	1.02545	0.98794	53.91507	30.64896	21.71268	0.96477	14.57904	5.89329	1.1509	0.27968	8.3515	4.28982	6.80109	0.75518	13.0608	0.15542	33.36866	0.088	0.02521	0.00854	0.41911	0.83557	2.12566	1.71814	1.1665	0.01335	0.00951	3.68802	0.008	14.54531	1.72633	1.29545	0.28009	0.09954	0	4.07231	2.56964	1.98411	0.66376	24.98373	2.01144	7.33223	0.51622	4.71825	1.32191	16.9005	1.24857	0.93022	15.1172	0.02184	4.19903	6.06841	7.6868	0.60541	0.96566	0.44855	0.83025	41.84857	0.64587	4.34529	5.551	5.40366	14.89267	0.15155	8.84125	7.129	7.90912	26.77623	0.37128	6.75859	20.06182	13.91128	5.53144	1.04362	19.35313	3.38313	10.02844	1.27096	0.16801	0.37786	27.56983	6.47434	41.45458	18.40295	1.61761	0.62687	0.63588	4.10167	15.66796	0.23085	11.62363	3.2894	23.10864	13.73624	0.66015	1.00812	0.32344	2.11128	65.75743	30.60835	0.19035	0.19245	35.16167	16.55155	9.25296	0.10679	38.20734	0.64887	0.68626	39.80473	31.73654	17.7658	0.34805	0.55405	0.20874	0.52013	26.78316	23.83812	5.42267	33.61837	1.85613	14.60593	1.09165	19.27415	29.48262	6.62065	37.98082	3.22149	2.15912	1.84481	5.55355	7.39763	2.68683	39.22514	19.63732	31.52441	7.01901	24.41731	0.21865	8.19889	31.89826	0.2099	0.48562	0.37276	5.07275	2.73259	38.03287	8.45133	10.0859	53.21455	2.64839	2.9825	1.84895	0.43281	52.49454	0.06041	0.12455	3.84318	10.02423	47.42739	1.99183	4.76179	0	0.49539	13.65502	0.10465	16.67076	5.91682	2.39565	10.77095	0.19431	0.10216	0.28389	5.29114	10.65817	0.00817	0.26229	0.56795	4.16397	13.14005	0.06584	0.45721	1.63876	0.06664	36.831	4.39828	69.08244	46.88982	31.36935	0.03978	12.50977	0.6483	19.30785	0.82253	6.44549	4.31918	60.93903	3.09046	2.28404	6.67575	3.17606	5.38546	0.19601	1.48366	18.32482	21.82435	0.30235	1.35245	30.30943	1.10267	0.07516	57.53845	44.04896	4.57597	35.04279	1.07347	22.66971	21.19824	0.05629	0.21139	22.76528	2.62394	0.33954	5.81005	0.556	0.12871	0.31352	0.08799	0.07349	0.28578	18.79881	0.09551	0.94813	36.35446	0.18269	0.48183	2.7325	2.74193	36.55522	0.25347	12.43773	12.48403	0.69345	0.43267	24.85379	17.90438	29.6359	24.43823	20.32295	6.06213	0.5368	39.14803	3.46004	0.6114	0.09932	0.0439	1.37563	1.06095	11.61495	0.01234
Escherichia_unclassified	0.0463	0.14623	0.02699	2.02423	2.42724	0.01894	1.15963	3.74216	1.12632	1.56657	0.41272	1.35473	1.30664	10.68857	2.58185	1.18584	17.88045	3.27469	1.25815	8.21581	1.08067	0.00789	0.01563	11.2286	0.00588	11.98403	0	0.34232	0.51231	4.203	3.92995	0.16657	13.62323	0	0.29063	0	3.2779	0	2.98338	18.18114	0.25313	5.02962	2.10661	7.77127	3.34191	0.56347	0.04374	1.47709	1.67372	5.74903	8.07712	9.82561	1.16064	1.19004	0.37765	13.48488	2.09523	0.94597	0.92761	0.53088	5.63038	6.04558	0.33526	0.06797	1.16623	8.32813	0.06839	0.02976	0.70407	0.35707	0.11726	3.23104	8.32952	5.97201	0	5.52543	0.01645	7.66794	2.2369	7.58617	4.43799	0.02539	0.56652	11.64396	0	5.50759	4.43189	0.24916	0.09391	0.04571	11.31028	0	0.53755	0.43087	20.81698	9.63537	16.36127	0.10181	6.79898	2.16449	1.16664	0.22846	6.13243	1.18464	1.96265	0.30484	7.38803	0.08944	10.24495	0	0	0	0.18905	0.28236	0.86848	2.50498	0.48359	0	0.04898	2.09666	0.00204	0	1.04614	1.7748	0.78792	0	0.01851	2.0116	0.96909	1.37275	0.45473	1.00481	0.9102	3.59053	0.54746	1.53885	0.62824	7.05198	0.5397	0.22648	0	0.01053	0.55693	1.31018	0.75564	0.68842	0.16201	0.29511	0.75555	27.61675	0.14883	1.39741	5.74648	1.47659	8.56304	0.09821	6.77546	1.53006	4.35089	9.48195	0.1462	3.05985	8.28259	3.83243	2.96858	0.59607	5.83627	1.53942	3.59888	0.91524	0.20787	0.00822	9.97155	8.01017	22.77512	0	0.30887	0.18683	0.27669	2.38477	9.30108	0.03039	6.37724	0.86161	11.43084	4.81245	0.65728	0.33787	0	0.72844	16.93179	7.6587	0.05391	0.18336	12.45516	6.14085	3.07224	0.05187	18.81337	0	0.27187	0	10.24291	5.89038	0.1727	0.05289	0.16742	0.09233	22.94981	10.41074	8.21499	11.60133	1.35886	11.95255	1.20564	10.39816	15.13553	2.48122	22.30554	3.32721	1.13229	0.24601	2.64197	2.91819	1.39166	19.29734	11.71066	9.07763	2.89917	10.95243	0.10368	2.56329	13.68521	0.14326	0.57897	0.15451	2.6976	1.50701	14.99056	5.82787	4.6104	23.96944	1.41018	0.74354	2.42376	0	11.60498	0	0.05588	2.23157	5.21786	7.21173	1.35353	2.11893	4.50921	0.14003	8.75755	0.20073	10.91773	3.30801	1.17681	4.8422	0.22036	0.07762	0.08639	1.06716	5.93666	0.11501	0.10246	0.0066	1.81852	4.82795	0.04087	0.17094	1.0601	0.09255	13.14091	0	25.00822	18.39979	17.46507	0.04942	9.70903	0.18651	11.83673	0.16842	3.05485	1.13873	22.52398	0.39075	1.04009	1.05835	1.63806	0.98577	0.1215	1.01524	8.33858	12.91955	0.33544	0	13.99022	0.58961	0.0216	16.70608	17.1708	1.76138	13.7883	0.27339	14.91842	10.30075	0.07038	0.37348	15.41029	1.23294	0.37264	3.49	0.30247	0.06613	0.16124	0.01221	0.07616	0.33538	9.28742	0	0.25723	0	0.40249	0.34795	1.66101	0.9537	9.76244	0.09395	4.64604	6.98154	0.2244	0.29181	12.40667	30.07765	21.05442	5.8718	11.18494	1.93081	0.37293	24.10469	2.16327	0.13784	0.10738	0.0203	0.16428	0.61029	6.5481	0.1058
Klebsiella_pneumoniae	0.12443	0.0246	0.06318	1.46199	0.71904	0.51004	3.57002	30.42066	0	0	1.01636	0	0.05341	15.52513	0.21759	0.12283	0	0.01752	0.46282	4.11889	0.11041	0.39313	0.91942	0	0	0.07239	0	0.87051	0	0.77934	0	1.84938	0	0.10157	0.10867	0.68783	5.74513	0.17877	0.34402	4.03185	0.01041	29.77045	0.50856	0.07591	7.31975	0.24405	0.90921	0	19.54119	0.45359	0.42317	0.19857	0.10905	0.08453	0	0.10459	0.00463	0.02413	8.37494	6.30446	0.1496	0.24883	0.00444	3.56251	1.39799	6.20135	0	0.00391	0	0.63046	0.68448	9.57847	0.3318	3.45127	0.10828	0.22942	33.69506	2.7011	0.37946	23.42537	0.01938	0.03184	0	0.03881	0	0.69672	0.00727	0.00488	0.01718	0	0	14.20802	5.27044	0.28693	0.4855	0	0	0.00378	0.05451	0.19277	0	0.16446	5.305	0.02326	0.54365	0.00684	0.01161	0	0.01764	0.24286	99.59308	65.07675	0.6646	0.02517	0.00835	5.21094	1.11542	29.88215	95.11252	0.14727	0.02509	5.41038	0.01296	2.66516	0.17531	0.00689	3.12382	0	0.2233	0.10273	0.0614	0.00643	0.03077	0.28844	0	0.33908	0	0.02044	0.89414	0.06492	1.41266	99.67282	2.81696	0.06452	0.05992	0.22573	0.20268	0	0.12624	4.50735	0.01032	0.31504	1.35782	0.04017	3.21873	0.01028	0.08461	4.27535	0.02696	0.00735	0.01074	13.522	0.1106	0.0322	0.57874	0	0	0	0.00647	1.69237	0	0.12599	0.01067	0.64978	0.25916	1.81842	0.0439	3.74449	0.15796	0	0.68448	0	0.74756	0.45608	0.08926	0.07439	0.33043	0.3749	0	0.65337	0.24514	0	0	0	0.45002	0	0.05915	0	5.93112	1.32201	0.59876	2.61956	0	0.14602	0.09821	0.01539	0.0202	0.06957	0.10472	0.36836	6.93308	0.01918	0	9.97201	1.55442	0.12965	5.64175	0.0688	0.3006	0	0.01876	10.32382	0.18286	0.50624	0.06572	0.02692	8.81651	0.22178	0.31063	0.01087	2.67916	0.2405	5.38587	0.80342	26.88182	0.11365	1.06801	0.3659	1.33355	5.67963	0.05133	2.58213	0.19469	0.06389	3.01662	0.02452	0.03137	0.00251	0.08306	0.19427	0.01957	1.58067	0	1.18176	0.70116	0	0.27451	1.00496	3.92521	0.63355	0	0.03821	1.73868	0.11983	0.00316	0	0.16343	1.6347	0	0.39008	0.00262	0.10778	0.35344	0.28922	79.33501	2.32208	0.29349	0.3303	3.76252	1.25999	3.0695	0	0.00907	0.15394	0.06208	0.01796	5.94782	0.03318	10.38144	0.00518	0.02659	0.04073	0.06101	0.00744	0.08921	5.9802	0.68215	7.33886	0.02209	11.01504	0.06503	6.24262	0.06237	0.41013	19.79352	0.82621	39.00626	0.68498	0.21714	2.92881	0	29.0293	0.22063	0.54556	0.1001	0.66573	1.25007	0.02777	0.41207	0.07616	20.47779	0.23283	27.47207	0.05093	0.03473	0.72246	0.13087	1.34063	0.15903	0.96801	0.01162	0.025	2.32597	3.28761	0.07911	0.12088	0.12329	46.66153	0.29883	1.17588	0	0.09483	0.00656	0	0.44875	0.72619	0.12526	0.47674	0.09738	0.01756	0	0.01266
Raoultella_ornithinolytica	0.00478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella_unclassified	0	0.00616	0	0	0.05876	0	0	3.91318	0.00551	0.00336	0	0	0	0	0.16148	0.05031	0	0	0	0	0	0	0	0	0	0	0.02078	0.21503	0	0.00277	0	0	0	0.03803	0.01929	0	0	0	0	0.51109	0	4.06577	0	0	0.24468	0	0	0.01822	0.60438	0	0.1545	0.03564	0	0	0.01073	0	0	0	0	0	0	0.06222	0	0	0.06359	0	0.00543	0.00035	0.02105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00758	0	0.01982	0	0	0	0	0.01203	0	0	0.02102	0.00098	0.02269	0	0.0531	0	0	0	0	0.0233	0.06145	0.0158	0	0.00176	0	0	0	0.0186	0.0304	0	0	0	0	0	0	0	0	0	0.29483	0.03949	0	0	0	0.01766	0	0	0.02936	0.249	0	0.02284	0	0	0	0.07241	0.20763	0	0.92883	0.00275	0.02592	0.01756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307	0	0	0	0	0.00614	0	0	0	0	0	0.05852	0.01029	0	0	0	0.01028	0	0.03332	0	0	0	0.48559	0	0.00259	0.03174	0	0	0	0	0	0	0	0.03364	0	0	0	0	0	0.06732	0.19371	0	0	0	0	0	0	0.02944	0	0	0.96485	0.00094	0.00494	1.66215	0	0	0	0	0	0	0	0	0	0.05232	0.00933	0	0	0.08423	0	0.01342	1.41478	0	0	0	0	0.00023	0	0	0	0	0	0.86459	0.07823	0	1.46051	0.01476	0.00731	0.00019	0	0	0.01885	0	0	0	0.35158	0	0.02882	0	0.34134	0	0.02913	0	0.29278	0.00393	0.00502	0	0.02128	0	0.0067	0	0.00053	0	0	0	0	0.60406	0.31463	0	1.75541	0	0.81288	0.01349	0.03438	0	0	0.00387	0	0	4.19806	0.007	0.00718	0	0.03488	0	0.04361	0	0.07905	1.85189	0	3.72099	0.04751	0	0	0.05389	16.18644	0	11.63937	0	0	0	0.04092	0	0	0	0	0	0.44857	0.036	0	0.02529	3.53803	0.10336	6.81387	0	0	0	0	0.15554	0.01163	0.21966	0.00777	0	2.40918	0	0.03084	0	0.17653	0	0.05315	0	0.01193	0	0.01452	0	0.03088	0.07444	0.091	0.07537	0	0	0	0
Pantoea_unclassified	0	0	0	0.01393	0.00353	0	0.00876	0.01654	0	0	0	0	0	0.05973	0	0	0	0	0	0.01946	0.00497	0	0	0	0	0.01136	0.04428	0	0	0	0	0	0.00703	0.01678	0	0	0	0.0173	0.0078	0.02557	0	0.03622	0	0.01506	0.01614	0	0	0	0.03362	0.01714	0.00454	0.01105	0.0104	0	0	0.0153	0	0	0.00881	0	0	0	0	0	0	0.0577	0	0	0	0.00751	0	0.01997	0.01461	0.04435	0	0.01005	0	0.03134	0.01474	0.04231	0.09159	0	0	0	0	0	0.01113	0.00196	0	0	0	0.00966	0	0	0.02765	0.0073	0.04025	0	0	0	0	0	0.01159	0	0	0	0.01596	0	0.00634	0	0.13742	0.0352	0	0	0	0.01029	0.00689	0.0275	0.06599	0	0	0.05389	0.00835	0	0	0	0	0	0	0	0	0.0083	0	0.00815	0	0	0	0.01384	0	0	0.01583	0.04823	0.01423	0	0.01167	0	0	0	0	0.02039	0	0	0.00647	0	0.01382	0	0	0.01245	0.00322	0.00947	0	0.02601	0.03188	0	0.00548	0	0.01339	0	0.00448	0	0	0	0.00744	0.00868	0.04076	0.02251	0	0	0	0	0.02586	0	0.02884	0.00763	0.01949	0.0063	0	0	0.01068	0	0.04317	0.01108	0	0	0.00347	0.01083	0.00406	0	0.00735	0	0	0.01078	0.00691	0.01145	0	0	0	0	0.00611	0.00746	0	0.02144	0	0	0	0.00652	0.01236	0	0.02251	0.01244	0	0	0	0	0.00424	0.01876	0.05125	0	0.00667	0.01448	0	0	0.02006	0	0.03364	0	0	0	0.02385	0.02305	0	0.02836	0.00674	0	0	0	0.05246	0	0	0	0	0.03884	0	0	0.01342	0	0.01324	0	0.01578	0	0	0	0	0	0	0	0	0.00302	0	0	0.00293	0.00516	0	0	0.14427	0	0	0	0.04931	0.01369	0.00912	0	0.01007	0	0.00919	0	0.01538	0.00514	0.03548	0.007	0	0.01385	0.00376	0	0	0.00728	0.01683	0.07405	0	0	0.00647	0.01958	0	0.0367	0.06011	0	0.13732	0	0.0188	0.01204	0	0.05556	0.01946	0	0	0	0	0	0	0	0.0223	0	0.07195	0	0	0.04374	0	0	0	0	0	0	0	0.00636	0	0	0	0.00681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shigella_sonnei	0	0	0	0	0.00545	0	0.01689	0	0	0	0	0	0	0.02016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0	0	0	1.76154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_cloacae	0	0	0	0	0	0.00195	0	0.02277	0	0	0.04919	0	0	0.00201	0.46315	0.04782	0	0.00773	0.03348	0.00833	0	0.00807	0.13217	0	0.01315	0	0	0.11317	0	0.13127	0	0.15083	0	0	0.0021	0.00664	0.10077	0	0.01819	0.8146	0.00185	8.4232	0.01289	0	0	0.06826	0.04505	0	0.00071	0.00516	0.01502	0.12458	0	0.00304	0	0.02081	0	0	1.56516	0.01448	0	0	0	0.07889	0.12756	0.29458	0	0	0.1036	0.04129	0.79536	0	0.02819	0.70449	0.20038	0	0	0.06807	0	0.30417	0	0.02006	0	0	0	0	0	0	0.14917	0	0	0	0	0	0	0	0.06287	0	0	0	0	0	0.13739	0.00684	0	0	0	0	0	0	0	0.00574	0.29116	0	0.0032	11.32845	0.06012	0	0	0	0	0	0	0.03548	0.63332	0	0.22608	0	0	0.36369	0.07748	0	0	0.07063	0	0	0	0.81098	0.0202	1.08257	0.00228	0.00767	0.03297	0	0.01994	6.31635	0	0.0171	0.02684	0.0153	0	0.00551	1.20022	0.01075	0	0	0	0	0	0	0	0	0	0	0.61061	0	0.01016	0	0	0.1597	0	0.01178	0	0.07476	0.00338	0	0.0825	0.00383	0	0	0.24482	0	0.01672	0	0	0.01113	0.00434	0.00769	0.02182	0	0	0	0	0.03392	0.00133	0	0.00426	0	0	0.01921	0.07912	0.00615	0	0.01349	0	0	0.00961	0.02352	0	0	0.07066	0	0.00882	0.05823	0.0844	0	0	0	0	0.06427	0	0.00444	0	0	0	0	0	0	0	0	0.06352	0.08028	0	0.02072	2.76547	0.01358	0	0.01273	0.0131	5.86721	0.00392	0.07646	0.02189	0.1166	12.2021	0.00687	0	0	0.02946	0.82608	0	0	0	0.34617	64.92684	0.0151	0.057	1.32279	0.02027	0.09702	0.03166	0.02351	0.22355	0.12967	0.01671	0.0033	0.00107	1.587	0.00195	0.09746	0.00198	0.00128	0.08347	0.02891	0.00106	0	0.13347	0	0	0	0.59076	0	0.08515	0	0	0	5.13896	0	0.00127	0.00232	0.03917	0.00746	0.1187	0.01473	0.01175	0.64594	0.02687	17.6809	0	0.59312	0	0.0219	0	0.01628	0	0	0	0	0	0	0	0.42065	0.00976	0	0.02327	0.01033	0.05818	0	0.04343	0	0.11872	0.02226	2.98891	0	0	0.03466	0	0.24874	0.00164	0	0	0	0.02631	0	0.01164	0.08305	0.17488	0.10627	0	0	0	0	0.04084	0	0.02568	1.06132	0.18885	0.04849	0	0	0	0.94445
Klebsiella_sp_MS_92_3	0	0	0	0	0	0.53263	0	0	0	0	0	0	0	0.22396	0	0	0	0	0	0	0	0.36319	0.69146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
