SubjectType	IndivCode	EcAbunStDev	KpAbunStDev	EnteroAbunStDev
Family	fam0457-F1	1.4701177586279723	0.43447469063226224	0.48017509226669974
Family	fam0457-F2	0.317109107090919	0.023878996000669707	2.031327253103252
Index	fam0457-T	11.218120563314812	10.218619862283589	33.22009562953848
Index	fam0501-T	1.6218457042292234	2.64440863227805	3.3275165236869975
Family	fam0502-F1	10.526822785216188	10.13934970420608	14.605140135507945
Index	fam0502-T	12.718572576256943	4.911730344669789	19.85861575804354
Family	fam0504-F1	12.729769344601154	2.2469378632374326	18.358666024752452
Family	fam0504-F2	11.637965849678276	0.8869472372319187	16.517594870624613
Family	fam0504-F3	9.735114381066557	0.004765899705197347	13.742841669396432
Index	fam0504-T	4.925655088512368	9.346128238731268	14.350429150731037
Index	fam0505-T	11.674596103467533	5.980306182682177	11.820039456716948
Family	fam0506-F1	4.834341540000963	0.11226257288161534	6.776080113556641
Index	fam0506-T	4.881543655944202	2.0118841285294167	9.145608476531237
Family	fam0507-F1	2.852463976483553	0.270618451021606	3.853889135868526
Family	fam0507-F2	14.72903725714423	0.657293471714373	17.85709384660138
Index	fam0507-T	12.965728161848416	12.271805224180753	22.612533585663222
Index	fam0508-T	11.114529346079692	9.686586169738542	18.079359126515516
Family	fam0509-F1	0.6324546199403785	0.003924442635585338	1.1657994696987986
Family	fam0509-F2	0.24729228137300738	0.12186796030950876	0.4524098382682507
Index	fam0509-T	8.735359697843833	2.402711575611327	14.978900905734754
Index	fam0510-T	7.825484706497648	4.7992152400935995	11.156974839956456
Family	fam0511-F1	8.032377876881235	NA	11.517803871163208
Family	fam0511-F2	11.42948413470957	2.2856815426622026	14.27471724392096
Index	fam0511-T	18.650232564813976	26.721528866006654	26.715547272618057
Index	fam0512-T	19.93788386304625	45.30745373033807	29.099519431483508
Index	fam0513-T	3.8212555324519246	0.5131390744557789	5.415419155297317
Index	fam0517-T	NA	NA	0.4063247696732258
Index	fam0524-T	0.03314916590202537	1.2523002516169996	2.8279204110853846
Family	fam0525-F1	9.876260807105183	0.8098847518320121	18.26177864934848
Index	fam0525-T	2.388788018645648	2.73579338755689	7.306703969692833
Index	fam0526-T	19.533099520467267	NA	24.244304779778545
Family	fam0528-F1	4.183969708253626	2.6192900568913706	5.59276933356876
Index	fam0528-T	23.79820018857999	4.652148248479253	32.33328055485721
Index	fam1338-T	15.344636851489732	8.841428183265982	20.43369766856757
Index	fam1385-T	11.868884350533822	10.595368383454474	17.135228678241408
Index	fam1663-T	15.10142832181943	0.1531699494026162	22.705578880629282
Family	fam1664-F1	16.955055450708027	0.7862447207877878	21.001310767375582
Index	fam1664-T	14.46332736690257	4.027778266412381	19.38697690602269
Family	fam1665-F1	4.8522747012397875	0.010548963614181887	6.975477926361631
Index	fam1665-T	11.784571730509768	2.347505712314669	20.772589807780825
Index	fam1667-T	13.773283644845346	1.742039321140599	17.961799666605902
Index	fam1673-T	12.700496928649422	0.27482412157596364	15.34148828590738
Index	fam1674-T	20.41706138865606	18.380811094646504	39.943318492962
